Sample	Ph
N1	7
N2	7
N3	7
N4	7
N5	7
N6	7
N7	7
N8	7
N9	7
N10	7
N11	7
N12	7
N13	7
N14	7
N15	7
N16	7
N17	7
N18	7
N19	7
N20	7
N21	7
N22	7
N23	7
N24	7
N25	7
N26	7
N27	7
N28	7
N29	7
N30	7
N31	7
N_1	7
N_2	7
N_3	7
N_4	7
N_5	7
N_6	7
N_7	7
N_8	7
N_9	7
N_10	7
N_11	7
N_12	7
N_13	7
N_14	7
N_15	7
N_16	7
N_17	7
N_18	7
N_19	7
N_20	7
N_21	7
N_22	7
N_23	7
N_24	7
N_25	7
N_26	7
SACa_21_1	7
SACa_21_2	7
SACa_21_3	7
SACa_21_4	7
SACa_21_5	7
SACa_21_6	7
SACa_21_11	7
SACa_21_12	7
SACa_21_13	7
SACa_21_14	7
SACa_21_15	7
SACa_21_16	7
CSF_22_6	7
CSF_22_7	7
CSF_22_8	7
CSF_22_9	7
CSF_22_10	7
CSF_22_11	7
CSF_22_12	7
CSF_22_13	7
CSF_22_14	7
CSF_22_15	7
CSF_22_16	7
CSF_22_17	7
CSF_22_18	7
CSF_22_19	7
CSF_22_20	7
CSF_22_21	7
CSF_22_22	7
CSF_22_23	7
CSF_22_24	7
CSF_22_25	7
CSF_22_26	7
CSF_22_27	7
CSF_22_28	7
CSF_22_29	7
CSF_22_30	7
CSF_22_31	7
CSF_22_32	7
W1	7
W2	7
W3	7
W4	7
W_1	7
W_2	7
W_3	7
SACa_21_W1	7
SACa_21_W2	7
SACa_21_W3	7
SACa_21_W4	7
CSF_22_W1	7
CSF_22_W2	7
