Sample	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	N_1	N_2	N_3	N_4	N_5	N_6	N_7	N_8	N_9	N_10	N_11	N_12	N_13	N_14	N_15	N_16	N_17	N_18	N_19	N_20	N_21	N_22	N_23	N_24	N_25	N_26	SACa_21_1	SACa_21_2	SACa_21_3	SACa_21_4	SACa_21_5	SACa_21_6	SACa_21_11	SACa_21_12	SACa_21_13	SACa_21_14	SACa_21_15	SACa_21_16	CSF_22_6	CSF_22_7	CSF_22_8	CSF_22_9	CSF_22_10	CSF_22_11	CSF_22_12	CSF_22_13	CSF_22_14	CSF_22_15	CSF_22_16	CSF_22_17	CSF_22_18	CSF_22_19	CSF_22_20	CSF_22_21	CSF_22_22	CSF_22_23	CSF_22_24	CSF_22_25	CSF_22_26	CSF_22_27	CSF_22_28	CSF_22_29	CSF_22_30	CSF_22_31	CSF_22_32	W1	W2	W3	W4	W_1	W_2	W_2	SACa_21_W1	SACa_21_W2	SACa_21_W3	SACa_21_W4	CSF_22_W1	CSF_22_W2
Phormidiaceae	0.648691856	0.569596379	12.86189279	30.77186377	4.285284898	11.55850568	21.6768	26.76505197	48.67235657	42.71737763	59.43100223	53.58538887	54.12806761	60.72910733	50.92152276	59.67114855	49.43850447	31.71230469	1.553223273	26.81513766	13.99070072	20.20482493	25.39789909	4.913503914	17.34485732	3.374110953	1.890247504	0.231514292	5.834809566	0.185475817	19.43625972	1.362564416	0.718544565	0.18021954	0.128585559	0.475089342	1.76835695	0.507108576	10.52023121	0.620224103	43.4867643	39.91256328	40.50822712	33.87682805	23.80640265	24.84999362	31.41671836	0.440306957	0.302100975	0.666378503	0.42760467	1.214458622	0.683006652	0.324735572	0.241545894	0.010955702	0.095275458	1.50839348	0.290275762	0.357568534	4.450915141	2.174756027	1.163052028	6.394583412	0.96074209	0.543249389	0.481624961	0.595209752	5.844770469	0.078642849	0.026588673	0.041816509	0.021941854	0.019705987	9.64448362	0.637202426	7.91764312	5.550303849	0.08075506	23.18580217	0.126538594	11.27717391	6.368638239	2.10700954	2.056110684	3.24684432	2.187920754	1.082000155	0.525913988	0.084392637	0.68506065	0.010584251	0.403409461	0.011526492	0.098527878	13.49823016	0.691593789	0.501220923	0.278514589	6.088362069	0.323726806	0.256982157	0.273635244	0	0	0	0	0.364661654	0.227600755
Nostocaceae	39.27198942	43.20256507	29.20282216	38.12539221	31.52990682	32.34955291	30.8992	25.29907825	6.605618777	6.011702529	0.10257648	0.181965224	0.154396229	0.17495321	0.365010411	0.283492629	4.908883061	18.37875835	19.34538629	16.91293717	32.5565767	26.01420793	24.19624383	38.16352036	29.89506445	30.07965861	37.71043771	41.49775573	32.81296132	28.45270367	25.65231283	8.280199144	6.352239719	1.698432636	2.898120673	13.56317007	17.28539642	9.037399257	10.21676301	5.729362985	3.729646138	12.46203405	8.787436373	6.326641838	10.69063061	4.761904762	1.232940447	4.994338911	3.7350666	10.10734097	9.637837436	6.027161203	4.03400804	5.056596771	3.140096618	9.546068729	4.62366194	4.103479037	4.037471962	3.030819002	4.09733777	16.96503587	9.52916058	8.469688421	3.942355475	5.03663775	6.072662548	2.428455788	6.152389967	4.718570947	2.326508907	3.111148281	5.035655513	7.377921413	2.431320699	9.884284039	3.23066622	6.691424713	3.437137233	0.097991181	3.232485908	0.193511199	0.394314535	17.62754044	1.790930054	0.147265077	7.713021735	2.372671768	0.8312834	1.181496914	11.46376721	1.196020322	0.810072223	2.159296116	2.822533905	1.018734352	0.584508299	0.205629097	0.205570292	0.172413793	0	0.00484872	0	0	0	0	0.012138869	0.233082707	0.227600755
Oxyphotobacteria_unclassified	1.534110124	2.267069031	4.095369394	3.057789948	21.3147838	12.9738329	4.8384	0.779564621	3.736960645	0.50018875	0.78139142	1.502897965	1.816187226	2.831800797	8.680564481	7.01846752	0.218546164	8.556730677	2.451449803	5.469331349	3.812343347	6.065414157	4.241604329	9.662566599	8.317035729	13.58748222	6.1964676	5.017717931	11.04591084	5.817520331	4.157052079	0.663813433	0.267543189	0.688110972	0.939663699	3.872188354	13.2333997	6.51091189	10.3805395	1.370661001	27.6903484	12.58628624	5.595233398	13.80234354	13.88505589	10.9919571	18.86243797	2.24556548	17.06870509	3.011310424	1.978136387	3.856726706	5.784212586	10.6234923	2.380952381	0.978709418	5.290590147	6.820209229	6.095791001	3.524604121	18.42762063	1.845149615	7.208675132	20.87643408	3.235602672	2.678345827	2.617526961	2.199895243	4.921911973	2.145826312	1.495612869	6.811909342	5.052111903	6.763094628	9.828118114	2.635469236	6.388795893	1.282916948	2.32170797	40.04572922	6.988381456	23.73188406	39.21137093	12.83284944	45.23059185	47.79102384	7.496633968	8.810572687	5.293069811	0.743710111	3.180189806	2.931837426	0.51076843	4.264801936	2.979019358	3.984287318	0.156166339	0.025703637	0.059681698	0.037715517	17.12593762	16.42261443	14.82076892	0.626276378	0.562164989	0.812457684	0.63122117	0.22556391	0.288664372
Unknown_Family	35.87173733	26.42776311	11.05344254	10.33145074	4.504272403	8.157331724	8.736	14.42929986	1.463963964	10.5071096	0.419356785	0.310014827	0.065008939	0.260395476	0.275043056	0.117446946	0.410194338	5.457392082	2.359520435	4.900605932	9.709760616	6.454870001	3.756167436	10.26771032	3.099699283	5.135135135	18.09911985	22.2206473	15.7144966	19.74247396	10.26305513	23.68765831	32.99954135	29.04265196	32.48269041	6.150935464	12.69469493	12.34266051	15.18304432	40.9998972	0.718639134	0.929590428	1.294242986	1.775819784	2.94604664	2.591599643	2.547301489	22.4304944	17.04124136	14.66753116	7.243251283	13.92524515	13.3293017	13.81517907	12.73291925	34.32421575	38.5641428	9.131457303	9.935347671	5.499744594	6.509983361	8.540683772	6.708618946	3.197291706	6.515377395	8.83517224	8.857711234	4.833103186	11.71320398	36.37793506	29.89563946	56.93317722	43.62863412	28.57368068	14.38959894	31.29938319	11.32686084	14.36191762	15.13147933	0.647830584	44.20798343	21.02272727	10.85740486	21.46827043	4.684857802	1.178120617	7.462973649	9.421129917	6.870811774	13.86676512	30.12381371	23.08425064	4.749821068	47.82341415	33.44731656	19.71423638	0.450651437	0.706850019	0.596816976	0.36637931	0.169759179	0.193948798	0.242851279	0.17699115	0.235324879	0.203114421	0.206360767	1.041353383	1.20461863
Xenococcaceae	0.24287515	0.196152395	2.550482524	2.629927549	2.249989265	2.446650941	4.9408	5.775642283	12.83487435	15.42720523	0.138779943	6.921417981	3.754266212	4.288387989	5.156414672	1.409363357	16.67675341	9.726171838	30.18539089	20.78771128	3.374623125	0.256031156	0.051726882	0.098664737	0.025235001	0.045519203	0.059070235	0.113394755	0.051668143	0.153374233	0.344350172	0.087343873	0.099373185	0.027305991	0.049455984	0.037838974	0.679236445	0.298831839	4.903660886	0.037693178	0.004548349	0.395766222	5.251943337	2.933963121	3.970608528	3.249074429	0.721153846	4.120015096	1.771410262	1.819033211	0.873800848	0.102572519	0.327274021	0.671120183	0.586611456	0.71942446	0.369892955	0.794744952	0.382636232	0.255406096	1.892678869	2.556065404	1.39341499	2.043759012	0.237424769	0.766444875	0.711967333	0.295224037	4.732607667	0.146051006	0.049853762	0.029271556	0.161821174	0.051235565	0.403995887	5.051740837	0.535654503	0.729237002	0.010094382	0.016331863	0.184056137	0.028820817	0.041265475	0.174201576	0.034588778	0.042075736	0.668397769	0.394157199	0.169649673	0.01054908	6.360379612	0.074089754	0.731992973	0.249740654	0.249217573	0.099283433	0.129394967	0.064259093	0.046419098	0.188577586	0.003947888	0	0	0	0	0	0.012138869	2.759398496	2.953258577
Phormidesmiaceae	0.043041166	0.082987552	0.06893196	0.108391808	0.090171326	0.126172582	0.1152	0.06864091	0.094831674	0.084937712	0	0	0	0	0	0	0.020173492	0.003195194	0.022982342	0.010630382	0.056304261	0.072121453	0.039789909	0.171018878	0.119866254	0.036984353	0.070884281	0.146468226	0.092264541	0.35311742	0.081650041	0.209625295	0.007644091	0.032767189	0.019782394	0.260668489	0.105398759	4.971475143	0.004816956	0.171332625	0	0	0	0.013625216	0.003449703	0.00638325	0.034894541	8.611146056	1.167208312	1.736186154	0.245407898	0.209247938	0.138735726	0.052576236	0.310559006	0.394405288	0.39231071	0.235179629	0.237498351	0.272433169	0.332778702	2.607768371	3.708281829	0.012538399	0.579758158	0.47586962	0.418804314	0.114280272	0.14197823	1.11223458	4.008242489	0.405620139	0.792649479	0.421708115	0.022036139	11.02615079	1.528847227	1.985145172	0.196840458	0.005443954	1.104336823	0.00411726	0.004585053	0.3152219	0.172943889	0	0.139449894	4.76080068	1.984901179	52.91945778	6.662057696	42.13590178	0.689700046	1.644446152	30.98411962	0.17698351	0	0	0	0	0	0	0	0	0	0	0	0.127819549	0.066614855
Spirosomaceae	2.265809943	4.624669936	5.69296894	1.34634035	7.037657263	4.010093807	5.1456	6.417925083	4.086652442	3.23077891	1.743800157	0.815473784	2.332195677	2.420864187	1.272395445	1.057022517	2.488064017	2.281368821	8.750526679	1.934729457	2.493733881	4.204680682	3.481617062	1.907518253	0.576199188	2.617354196	3.237048851	3.529411765	1.978151757	7.55100585	1.1999006	3.327801555	7.11664883	2.763366283	4.470820969	6.235022073	14.39278604	6.103413927	3.082851638	10.08806497	8.264350041	1.923607915	2.28465454	9.028976292	6.878708431	11.91114516	10.16206576	7.95697572	4.673410537	5.87853901	2.294192013	1.005210684	0.90711821	1.605121544	0.82815735	5.759047584	3.312223281	0.332495337	0.51457976	0.272433169	0.894342762	0.701221483	0.651758625	1.41056987	0.607365689	0.36216626	0.251282588	0.285700681	1.632749645	3.606336367	5.82624302	6.272476374	5.68568294	1.742009222	0.60966652	0.463883366	1.071309006	0.283592167	2.796143946	1.774729163	5.389393765	1.519268775	2.287941311	1.534632932	0.795541891	3.934081346	0.192344682	0.595100085	0.373229282	0.485257661	0.565646408	2.508467401	0.113865574	6.60852192	1.756114524	0.384183718	0.263251829	0.257036371	0.079575597	0.10237069	3.395183577	3.171062839	3.478588042	0.517358747	0.601385802	0.496501918	0.509832484	2.582706767	2.659042967
Chloroflexaceae	3.034402189	2.621652207	2.724839835	1.757088254	2.662201039	3.093971145	3.2128	3.603647774	2.047771456	1.390461809	0.558136728	0.013478906	0.016252235	0.248189438	1.110454207	0.121496841	0.013448995	0.220468416	0.015321561	0.595301371	1.064332159	2.679311961	3.00015916	1.749654673	1.522511724	1.445234708	2.297832122	1.743444366	3.380572778	1.990298188	1.941850971	1.694471133	1.804005504	0.922942494	2.710187933	0.134538575	0.726080337	0.606719189	1.271676301	4.557447829	0	1.150483203	1.19954228	0.399672995	0.672692148	1.340482574	1.310483871	1.0252862	1.762255687	0.118867517	0.171041868	2.453534649	2.294475472	2.517473867	0.069013112	6.555161962	7.453903492	0.916389587	0.831244227	0.238379023	0.623960067	1.079299425	0.224744353	1.786721836	0.32576887	1.280215615	0.994660245	0.290462359	0.615238997	1.022357039	1.894442967	3.776030777	2.852441031	4.563906515	0.947553989	2.181781108	1.043410334	0.972316003	1.816988846	3.500462736	8.690900725	3.487318841	3.700137552	1.401907922	3.020753267	1.669004208	1.130025005	2.024886004	0.568326406	1.54544016	1.841493307	3.693903472	0.224477845	3.711530334	1.773501797	0.945350945	0.031233268	0	0.019893899	0.016163793	0.003947888	0.00484872	0	0	0.026147209	0	0.036416606	0.135338346	0.122127234
Aeromonadaceae	0	0.022632969	0.888005839	0.182554624	0.124522307	0.005485764	0.0192	0.014708766	0.032598388	0.072354348	0	0	0.004063059	0	0	0	0	0.003195194	0	0	0	0	0	0	0	0	0	0	0	0	0	0.934579439	0.015288182	0.016383595	0.019782394	0.008408661	0.269352383	0.244498778	0.997109827	0.270705548	0.009096698	0.050621261	1.483644399	1.648651104	0.996964261	0.944721052	0.488523573	1.610265442	10.28058772	8.201858656	11.03963709	14.10577278	21.03802782	18.21921198	45.54865424	0.737683965	0.084066581	0.129754278	0.158332234	1.481355355	0.74875208	0.733535837	2.224969098	0.068961194	0.093865607	0.021056178	0.094230971	0.204752155	0.070989115	0.011234693	0.013294337	0	0.002742732	0.003941197	0	0	0	0.013504389	0.005047191	0	0	0	0	0.008295313	0	0.014025245	0	0	0	0.01054908	0	0	0.045546229	0	0.005795758	0	0.071390327	0.102814548	0.086206897	0.043103448	0.011843664	0.043638479	0.006840881	0.381211709	0.366060923	0.203114421	0.230638504	0.263157895	0.172088376
Cryomorphaceae	0.464229717	0.543191249	0.109480172	0.005704832	0.137403925	0.164572933	0.0064	0	0	0.012583365	0.063356061	0.013478906	0.004063059	0.008137359	0.005140992	0.004049895	0.006724497	0	0	0.042521527	0.410476225	0.025242508	0.027852936	0.144708281	0.088322503	0.011379801	0.070884281	0.051972596	0.055358725	0.820373805	0.138450069	0.716219757	0.580950925	0.103762766	1.15727003	5.032583561	2.517859234	6.248302092	0.086705202	0.733303636	0	0.009203866	0.003945863	0.004541739	0.01034911	0.00638325	0.011631514	0.824003019	0.169359637	0.252143217	0.044619618	0.541582899	0.50158301	0.210304942	0.138026225	0.445531899	0.952754582	0.44603033	0.51457976	0.442703899	0.18718802	0.352226459	0.427014271	0.006269199	0.215338744	0.147393245	0.104701078	0.057140136	0.047326077	0.280867318	0.72786493	0.451618299	0.367526056	0.315295787	0.220361393	0.137635724	0.156232563	0.243079001	0.555191036	0.005443954	0.276084206	0.00411726	0.114626318	0.29033596	0.026902383	0.070126227	0.206770533	0.417342917	0.4156417	0.195157972	0.131984162	0.201100762	0.042292927	0.799170093	0.979483018	0.030216697	40.81295734	37.48875466	46.39920424	44.10021552	0.019739439	0.01454616	0.027363524	0.299523485	0.405281736	0.293387497	0.400582666	0.086466165	0.127678472
