OTU	Kingdom	Phylum	Class	Order	Family	Genus
Otu000001	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema_CCAP_1459-11B
Otu000002	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Rivularia_PCC-7116
Otu000003	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_unclassified	Oxyphotobacteria_unclassified	Oxyphotobacteria_unclassified
Otu000004	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_ANT.L52.2
Otu000005	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	CENA359
Otu000006	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Calothrix_PCC-6303
Otu000007	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Xenococcaceae	Pleurocapsa_PCC-7319
Otu000008	Bacteria	Cyanobacteria	Oxyphotobacteria	Phormidesmiales	Phormidesmiaceae	Phormidesmiaceae_ge
Otu000009	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostocaceae_unclassified
Otu000010	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_VRUC_135
Otu000011	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
Otu000012	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexaceae_unclassified
Otu000013	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Otu000014	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured
Otu000015	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagales_unclassified	Cytophagales_unclassified
Otu000016	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocales_unclassified	Nostocales_unclassified
Otu000017	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Silanimonas
Otu000018	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon_PCC-7430
Otu000019	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_VRUC_135
Otu000020	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_ANT.L52.2
Otu000021	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Xenococcaceae	Pleurocapsa_PCC-7319
Otu000022	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_ANT.L52.2
Otu000023	Bacteria	Bacteroidetes	Bacteroidia	SM1A07	SM1A07_fa	SM1A07_ge
Otu000024	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Paraclostridium
Otu000025	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured
